run_name,population,generations,self_crossover,mutation_rate,mutation_probability,selection_percentage,cromossome_size,best_result,tempo
run0,25,20,True,0.05,1.0,0.2,8000,26270,42903.0267
run1,25,20,True,0.05,0.5,0.2,8000,25360,16228.0701
