run_name,population,generations,self_crossover,mutation_rate,mutation_probability,selection_percentage,cromossome_size,best_result,tempo
run0,20,10,False,0.05,0.5,0.2,8000,23200,1652.8712
run1,20,10,False,0.05,0.5,0.2,8000,22570,2727.8787
